State,Date,Dem,GOP,Oth
CA,08/14/2024,58.55,35.0,4.17
MN,08/14/2024,48.39,41.63,3.72
OH,08/14/2024,42.25,51.4,9.0
PA,08/14/2024,47.51,46.78,
MI,08/14/2024,47.24,45.45,
FL,08/14/2024,44.17,49.09,
GA,08/14/2024,47.15,47.81,3.25
National,08/14/2024,48.93,46.24,0.0
ME2,08/15/2024,49.55,45.36,2.5
CA,08/15/2024,58.55,35.0,4.17
NH,08/15/2024,50.11,44.52,
OH,08/15/2024,42.26,51.41,9.0
ME1,08/15/2024,62.37,34.64,2.0
PA,08/15/2024,47.48,46.79,
FL,08/15/2024,44.18,49.09,
NC,08/15/2024,46.91,47.63,3.38
MT,08/15/2024,39.9,55.34,4.27
NV,08/15/2024,47.18,45.94,
ME,08/15/2024,55.6,39.99,2.33
WI,08/15/2024,48.44,45.48,3.79
AZ,08/15/2024,46.24,46.87,
NM,08/15/2024,49.34,41.44,4.92
National,08/15/2024,48.96,46.23,0.0
MI,08/15/2024,47.2,45.45,
GA,08/15/2024,47.15,47.82,3.24
MN,08/15/2024,48.4,41.63,3.72
PA,08/16/2024,47.48,46.79,
WI,08/16/2024,48.44,45.48,3.78
MI,08/16/2024,47.2,45.45,
MN,08/16/2024,48.4,41.63,3.71
ME1,08/16/2024,62.38,34.63,2.0
FL,08/16/2024,44.18,49.1,
GA,08/16/2024,47.15,47.82,3.24
National,08/16/2024,48.97,46.24,0.0
NM,08/16/2024,49.34,41.45,4.91
OH,08/16/2024,42.27,51.42,9.0
AZ,08/16/2024,46.32,47.03,
MT,08/16/2024,39.9,55.34,4.27
TX,08/16/2024,44.2,50.13,2.0
NV,08/16/2024,47.12,46.01,
ME,08/16/2024,55.61,39.98,2.32
CA,08/16/2024,58.55,35.0,4.17
VA,08/16/2024,46.96,43.96,6.0
NH,08/16/2024,50.11,44.52,
NC,08/16/2024,46.91,47.63,3.38
ME2,08/16/2024,49.56,45.37,2.49
ME1,08/17/2024,62.38,34.63,2.0
CA,08/17/2024,58.47,35.17,4.17
AZ,08/17/2024,46.32,47.03,
FL,08/17/2024,44.13,49.24,
NH,08/17/2024,50.12,44.53,
NE2,08/17/2024,48.02,42.0,3.5
OH,08/17/2024,42.28,51.42,9.0
MI,08/17/2024,47.27,45.54,
NM,08/17/2024,49.35,41.45,4.91
PA,08/17/2024,47.5,46.91,
NV,08/17/2024,47.12,46.02,
ME2,08/17/2024,49.58,45.37,2.48
TX,08/17/2024,44.2,50.13,2.0
MT,08/17/2024,39.61,55.17,4.12
GA,08/17/2024,47.16,47.82,3.24
National,08/17/2024,49.0,46.23,0.0
WI,08/17/2024,48.39,45.62,3.82
ME,08/17/2024,55.62,39.98,2.32
MN,08/17/2024,48.4,41.63,3.7
VA,08/17/2024,46.96,43.96,6.0
NC,08/17/2024,46.92,47.63,3.37
NH,08/18/2024,50.13,44.53,
OH,08/18/2024,42.29,51.43,9.0
GA,08/18/2024,47.16,47.83,3.23
ME1,08/18/2024,62.39,34.63,2.0
National,08/18/2024,49.03,46.18,0.0
CA,08/18/2024,58.47,35.17,4.16
MN,08/18/2024,48.41,41.63,3.69
NC,08/18/2024,47.0,47.65,3.28
ME2,08/18/2024,49.59,45.37,2.48
FL,08/18/2024,44.13,49.24,
NE2,08/18/2024,48.02,42.0,3.5
MI,08/18/2024,47.27,45.54,
NM,08/18/2024,49.36,41.46,4.9
VA,08/18/2024,46.96,43.96,6.0
WI,08/18/2024,48.4,45.62,3.82
PA,08/18/2024,47.47,46.93,
AZ,08/18/2024,46.32,47.03,
TX,08/18/2024,44.2,50.13,2.0
MT,08/18/2024,39.77,55.49,3.79
ME,08/18/2024,55.63,39.97,2.32
NV,08/18/2024,47.13,46.02,
NV,08/19/2024,47.12,45.87,
MT,08/19/2024,39.76,55.49,3.78
NM,08/19/2024,49.36,41.46,4.89
NE2,08/19/2024,48.02,42.0,3.5
AZ,08/19/2024,46.24,46.94,
National,08/19/2024,49.07,46.2,0.0
ME2,08/19/2024,49.6,45.37,2.47
GA,08/19/2024,47.17,47.83,3.23
TX,08/19/2024,44.2,50.13,2.0
FL,08/19/2024,44.15,49.07,
MN,08/19/2024,48.41,41.63,3.69
MI,08/19/2024,47.23,45.51,
NC,08/19/2024,46.99,47.54,3.27
CA,08/19/2024,58.47,35.17,4.16
OH,08/19/2024,42.3,51.44,9.0
PA,08/19/2024,47.49,46.91,
ME,08/19/2024,55.64,39.97,2.31
NH,08/19/2024,50.14,44.53,
VA,08/19/2024,46.96,43.96,6.0
ME1,08/19/2024,62.4,34.63,2.0
WI,08/19/2024,48.41,45.54,3.82
PA,08/20/2024,47.43,46.87,
TX,08/20/2024,44.2,50.13,2.0
CA,08/20/2024,58.47,35.17,4.16
NM,08/20/2024,49.37,41.47,4.89
WI,08/20/2024,48.44,45.51,3.69
NV,08/20/2024,47.1,45.96,
GA,08/20/2024,47.28,47.8,3.14
MN,08/20/2024,48.41,41.63,3.68
ME2,08/20/2024,49.61,45.37,2.47
FL,08/20/2024,44.15,49.07,
NC,08/20/2024,46.97,47.63,3.18
AZ,08/20/2024,46.23,46.96,
OH,08/20/2024,42.3,51.44,9.0
NE2,08/20/2024,48.02,42.0,3.5
National,08/20/2024,49.04,46.2,0.0
MT,08/20/2024,39.85,55.31,4.16
NH,08/20/2024,50.14,44.54,
ME1,08/20/2024,62.41,34.63,2.0
MI,08/20/2024,47.16,45.49,
VA,08/20/2024,46.96,43.96,6.0
ME,08/20/2024,55.65,39.96,2.31
GA,08/21/2024,47.31,47.85,3.28
NV,08/21/2024,47.32,45.99,
MI,08/21/2024,47.22,45.5,
National,08/21/2024,49.08,46.17,0.0
NE2,08/21/2024,48.02,42.0,3.5
MT,08/21/2024,39.84,55.3,4.15
ME2,08/21/2024,49.62,45.37,2.46
MN,08/21/2024,48.54,41.78,3.85
WI,08/21/2024,48.5,45.52,3.71
TX,08/21/2024,44.2,50.13,2.0
VA,08/21/2024,46.96,43.96,6.0
NH,08/21/2024,50.58,44.72,
AZ,08/21/2024,46.2,47.14,
ME,08/21/2024,55.66,39.96,2.31
PA,08/21/2024,47.49,46.91,
FL,08/21/2024,44.21,49.12,
NC,08/21/2024,47.04,47.65,3.34
ME1,08/21/2024,62.41,34.63,2.0
NM,08/21/2024,49.57,41.51,4.69
CA,08/21/2024,58.47,35.17,4.16
OH,08/21/2024,42.31,51.45,9.0
MT,08/22/2024,39.84,55.3,4.15
AZ,08/22/2024,46.28,47.17,
NE2,08/22/2024,48.02,42.0,3.5
VA,08/22/2024,47.22,44.22,6.0
ME2,08/22/2024,49.63,45.38,2.46
NH,08/22/2024,50.59,44.72,
MI,08/22/2024,47.25,45.7,
MN,08/22/2024,48.55,41.78,3.84
ME1,08/22/2024,62.42,34.62,2.0
FL,08/22/2024,44.11,49.39,
WI,08/22/2024,48.39,45.8,3.78
NC,08/22/2024,47.04,47.68,3.33
PA,08/22/2024,47.53,47.14,
OH,08/22/2024,42.32,51.45,9.0
NM,08/22/2024,49.58,41.52,4.68
CA,08/22/2024,58.3,35.52,4.16
NV,08/22/2024,47.3,46.09,
TX,08/22/2024,44.16,50.2,2.0
ME,08/22/2024,55.67,39.95,2.3
National,08/22/2024,49.1,46.19,0.0
GA,08/22/2024,47.42,47.87,3.25
VA,08/23/2024,47.22,44.22,6.0
NV,08/23/2024,47.3,46.09,
MI,08/23/2024,47.27,45.68,
FL,08/23/2024,44.11,49.4,
MN,08/23/2024,48.55,41.78,3.84
ME,08/23/2024,55.67,39.95,2.3
ME1,08/23/2024,62.43,34.62,2.0
OH,08/23/2024,42.32,51.46,9.0
NH,08/23/2024,50.59,44.72,
WI,08/23/2024,48.39,45.79,3.8
ME2,08/23/2024,49.64,45.38,2.45
GA,08/23/2024,47.45,47.86,3.21
NC,08/23/2024,47.05,47.68,3.33
NE2,08/23/2024,47.89,42.0,3.5
National,08/23/2024,49.13,46.14,0.0
NM,08/23/2024,49.58,41.52,4.68
AZ,08/23/2024,46.37,47.11,
PA,08/23/2024,47.5,47.18,
CA,08/23/2024,58.3,35.53,4.15
MT,08/23/2024,40.19,55.94,3.36
TX,08/23/2024,44.16,50.2,2.0
GA,08/24/2024,47.51,47.87,3.22
MN,08/24/2024,48.65,41.68,3.2
PA,08/24/2024,47.53,47.21,
FL,08/24/2024,44.27,49.51,
WI,08/24/2024,48.44,45.77,3.73
VA,08/24/2024,47.22,44.22,6.0
CA,08/24/2024,58.29,35.54,4.15
NC,08/24/2024,47.08,47.7,3.29
ME2,08/24/2024,49.65,45.38,2.45
AZ,08/24/2024,46.4,47.12,
TX,08/24/2024,44.16,50.2,2.0
ME,08/24/2024,56.18,39.68,2.12
National,08/24/2024,49.13,46.12,0.0
NE2,08/24/2024,47.89,42.0,3.5
NV,08/24/2024,47.35,46.1,
NH,08/24/2024,50.55,44.74,
MI,08/24/2024,47.38,45.71,
NM,08/24/2024,49.59,41.52,4.67
OH,08/24/2024,42.33,51.46,9.0
ME1,08/24/2024,62.43,34.62,2.0
MT,08/24/2024,40.19,55.96,3.33
NV,08/25/2024,47.32,46.26,
VA,08/25/2024,47.22,44.22,6.0
WI,08/25/2024,48.56,45.76,3.43
National,08/25/2024,49.1,46.09,0.0
MN,08/25/2024,48.6,41.75,3.2
PA,08/25/2024,47.55,47.15,
NC,08/25/2024,47.06,47.84,3.1
TX,08/25/2024,44.16,50.2,2.0
ME1,08/25/2024,62.7,34.57,2.0
MI,08/25/2024,47.38,45.71,
AZ,08/25/2024,46.38,47.16,
FL,08/25/2024,44.27,49.52,
ME2,08/25/2024,50.04,45.43,2.25
GA,08/25/2024,47.72,47.82,3.0
NM,08/25/2024,49.59,41.53,4.66
CA,08/25/2024,58.29,35.55,4.15
MT,08/25/2024,40.49,55.72,4.31
OH,08/25/2024,42.34,51.47,9.0
NE2,08/25/2024,47.89,42.0,3.5
ME,08/25/2024,56.04,39.75,2.17
NH,08/25/2024,50.44,44.7,
NE2,08/26/2024,47.89,42.0,3.5
WI,08/26/2024,48.64,45.78,3.4
National,08/26/2024,49.07,46.11,0.0
AZ,08/26/2024,46.24,47.4,
ME1,08/26/2024,62.7,34.57,2.0
VA,08/26/2024,47.22,44.22,6.0
NC,08/26/2024,47.11,47.84,3.48
FL,08/26/2024,44.4,49.67,
MI,08/26/2024,47.48,45.69,
NV,08/26/2024,47.73,46.35,
MN,08/26/2024,48.87,42.05,3.37
CA,08/26/2024,58.29,35.55,4.15
ME2,08/26/2024,50.04,45.43,2.25
TX,08/26/2024,44.16,50.2,2.0
OH,08/26/2024,42.34,51.47,9.0
ME,08/26/2024,56.04,39.75,2.17
MT,08/26/2024,40.51,55.72,4.32
NM,08/26/2024,49.94,41.6,4.24
PA,08/26/2024,47.64,47.27,
NH,08/26/2024,50.44,44.7,
GA,08/26/2024,47.68,47.78,3.36
ME1,08/27/2024,62.7,34.57,2.0
NV,08/27/2024,47.72,46.56,
NC,08/27/2024,47.15,47.99,3.48
WI,08/27/2024,48.58,45.87,3.39
FL,08/27/2024,44.46,49.69,
NH,08/27/2024,50.44,44.7,
